n,bf,bb
4,1,14
3,1,25
6,4,34
5,1,23
7,29,82
8,233,118
10,39427,223
9,2179,92
11,316501,545
12,3571991,541
13,48513178,1663
14,745704976,4587
15,11212246145,2740
10,348275,321
11,4103292,910
12,53389840,875
13,737267439,1533
14,11497955172,3070
3,0,10
4,1,13
5,6,21
6,41,42
7,321,99
8,2997,145
9,29111,133
10,,281
11,,747
12,,764
13,,1252
14,,2650
15,,3393
3,,8
4,,11
5,,19
6,,33
7,,89
8,,132
9,,106
3,1,27
4,3,43
5,6,65
6,25,93
7,210,254
8,1493,341
9,11636,283
10,55939,621
11,389011,1625
12,4565887,1588
13,61641267,3943
14,894861423,5107
15,14285441928,6467
