n,qs,pns
10000000,8217,6489
11000000,9107,6894
12000000,10255,7936
13000000,10920,8517
14000000,12020,8666
15000000,12813,8666
16000000,13553,10426
17000000,14361,10037
18000000,14919,11755
19000000,15748,12304
20000000,16579,12706
21000000,17634,12287
22000000,18221,13945
23000000,18904,14782
24000000,19611,15772
25000000,20495,14648
26000000,20978,15769
28000000,22710,15674
27000000,21944,17342
29000000,23331,17814
30000000,24175,18968
10000000,8263,6551
11000000,9103,6914
12000000,9996,7946
13000000,10928,8517
14000000,11662,8666
15000000,12666,8711
16000000,13378,10480
17000000,14275,9941
18000000,14987,11758
19000000,15751,12247
20000000,16607,12652
21000000,17457,12353
22000000,18271,13882
23000000,18842,14645
25000000,20622,14594
24000000,19674,15717
26000000,21118,15718
28000000,22778,15678
27000000,21981,17487
29000000,23961,17868
30000000,24157,18916
10000000,8179,6433
11000000,9027,6821
12000000,10041,7958
13000000,10891,8433
14000000,11751,8672
15000000,12820,8714
16000000,13485,10486
17000000,14130,10044
18000000,15081,11761
19000000,15655,12391
20000000,16564,12657
21000000,17528,12225
22000000,18145,13872
23000000,18808,14735
25000000,20609,14535
24000000,19532,15781
26000000,20957,15630
28000000,22691,15595
27000000,21904,17475
29000000,23294,17773
30000000,24374,18876
